Date	Open	High	Low	Close	Adj Close	Volume
2020/1/2	7.139999866	7.210000038	7.119999886	7.159999847	6.985208035	4980666
2020/1/3	7.28000021	7.309999943	7.159999847	7.190000057	7.014475822	2763615
2020/1/6	7.010000229	7.03000021	6.909999847	7	6.82911396	7859151
2020/1/7	7.230000019	7.255000114	7.079999924	7.099999905	6.926672935	7589056
2020/1/8	7.050000191	7.079999924	6.760000229	6.860000134	6.692532063	13449760
2020/1/9	6.96999979	7	6.900000095	6.949999809	6.780334473	6173211
2020/1/10	6.989999771	7.059999943	6.960000038	7	6.82911396	4450193
2020/1/13	6.980000019	7.059999943	6.980000019	7.019999981	6.84862566	3842992
2020/1/14	7.090000153	7.150000095	7.079999924	7.110000134	6.936429024	4958613
2020/1/15	7.170000076	7.199999809	7.019999981	7.039999962	6.86813736	10472071
2020/1/16	7.039999962	7.070000172	7.019999981	7.070000172	6.897405624	10728336
2020/1/17	7.119999886	7.150000095	7.099999905	7.150000095	6.975452423	9619822
2020/1/20	7.150000095	7.150000095	7.03000021	7.050000191	6.877893448	6159123
2020/1/21	7	7	6.909999847	6.929999828	6.760822773	6672381
2020/1/22	6.809999943	6.880000114	6.784999847	6.789999962	6.624240398	12568941
2020/1/23	6.789999962	6.829999924	6.650000095	6.659999847	6.497414112	14837799
2020/1/24	6.75	6.789999962	6.710000038	6.710000038	6.5461936	9301187
2020/1/28	6.380000114	6.46999979	6.28000021	6.360000134	6.20473814	13515560
2020/1/29	6.440000057	6.539999962	6.389999866	6.510000229	6.351076126	19818269
2020/1/30	6.519999981	6.539999962	6.480000019	6.519999981	6.360831738	10004597
2020/1/31	6.46999979	6.519999981	6.409999847	6.409999847	6.253517151	10154134
2020/2/3	6.199999809	6.375	6.199999809	6.369999886	6.214493752	8360451
2020/2/4	6.449999809	6.579999924	6.420000076	6.510000229	6.351076126	10334706
2020/2/5	6.699999809	6.699999809	6.519999981	6.559999943	6.399855614	11110021
2020/2/6	6.579999924	6.659999847	6.579999924	6.659999847	6.497414112	6065016
2020/2/7	6.730000019	6.739999771	6.465000153	6.480000019	6.321808338	7317524
2020/2/10	6.510000229	6.519999981	6.360000134	6.420000076	6.263273239	7850746
2020/2/11	6.5	6.510000229	6.369999886	6.409999847	6.253517151	11019061
2020/2/12	6.360000134	6.494999886	6.360000134	6.46999979	6.31205225	7320361
2020/2/13	6.510000229	6.534999847	6.400000095	6.46999979	6.31205225	5691958
2020/2/14	6.5	6.510000229	6.420000076	6.429999828	6.273028851	7435702
2020/2/17	6.460000038	6.480000019	6.349999905	6.349999905	6.194982052	15860131
2020/2/18	6.28000021	6.324999809	6.224999905	6.230000019	6.077911377	10499038
2020/2/19	6.230000019	6.340000153	6.21999979	6.300000191	6.146203041	8075694
2020/2/20	6.610000134	6.829999924	6.599999905	6.670000076	6.5071702	13664340
2020/2/21	6.610000134	6.639999866	6.420000076	6.510000229	6.351076126	13532030
2020/2/24	6.25	6.289999962	5.96999979	6.019999981	5.873038292	11357539
2020/2/25	5.75	5.960000038	5.71999979	5.900000095	5.755967617	23712619
2020/2/26	5.739999771	5.829999924	5.650000095	5.71999979	5.580361366	11724587
2020/2/27	5.610000134	5.769999981	5.550000191	5.639999866	5.502314568	15446565
2020/2/28	5.449999809	5.630000114	5.349999905	5.53000021	5.395000458	26354420
2020/3/2	5.199999809	5.329999924	5.139999866	5.309999943	5.309999943	16624680
2020/3/3	5.300000191	5.460000038	5.230000019	5.230000019	5.230000019	21165021
2020/3/4	5.070000172	5.199999809	5.019999981	5.070000172	5.070000172	12587200
2020/3/5	5.139999866	5.179999828	5.03000021	5.070000172	5.070000172	15513106
2020/3/6	4.960000038	4.96999979	4.659999847	4.659999847	4.659999847	13836135
2020/3/9	4.320000172	4.440000057	4.150000095	4.150000095	4.150000095	23426795
2020/3/10	3.970000029	4.605000019	3.849999905	4.449999809	4.449999809	38249166
2020/3/11	4.349999905	4.349999905	3.849999905	4.039999962	4.039999962	36215383
2020/3/12	3.950000048	4.03000021	3.539999962	3.640000105	3.640000105	26642867
2020/3/13	3.5	3.619999886	3.059999943	3.180000067	3.180000067	51444429
2020/3/16	2.960000038	3.289999962	2.829999924	3.019999981	3.019999981	31898956
2020/3/17	3.049999952	3.210000038	2.829999924	2.859999895	2.859999895	35970824
2020/3/18	2.799999952	2.799999952	2.25999999	2.529999971	2.529999971	52790278
2020/3/19	2.230000019	2.470000029	2.029999971	2.140000105	2.140000105	33515383
2020/3/20	2.380000114	2.75	2.210000038	2.359999895	2.359999895	28014236
2020/3/23	2.329999924	2.49000001	2.210000038	2.410000086	2.410000086	21823489
2020/3/24	2.579999924	2.630000114	2.460000038	2.589999914	2.589999914	18862803
2020/3/25	2.950000048	3.400000095	2.920000076	3.269999981	3.269999981	43807293
2020/3/26	3.319999933	3.609999895	3.170000076	3.25	3.25	30471600
2020/3/27	3.400000095	3.519999981	3.029999971	3.109999895	3.109999895	27806101
2020/3/30	3.140000105	3.220000029	2.910000086	3.200000048	3.200000048	15047069
2020/3/31	3.299999952	3.450000048	3.180000067	3.230000019	3.230000019	27232634
2020/4/1	3.279999971	3.460000038	3.210000038	3.380000114	3.380000114	22041361
2020/4/2	3.279999971	3.289999962	3.154999971	3.200000048	3.200000048	15509699
2020/4/3	3.279999971	3.289999962	3.049999952	3.049999952	3.049999952	17154116
2020/4/6	3.099999905	3.130000114	3	3.049999952	3.049999952	13886143
2020/4/7	3.210000038	3.289999962	3.160000086	3.180000067	3.180000067	15682005
2020/4/8	3.210000038	3.309999943	3.119999886	3.25	3.25	12053278
2020/4/9	3.339999914	3.569999933	3.309999943	3.559999943	3.559999943	16178594
2020/4/14	3.650000095	3.710000038	3.569999933	3.680000067	3.680000067	18015034
2020/4/15	3.789999962	3.809999943	3.5	3.549999952	3.549999952	20372329
2020/4/16	3.50999999	3.599999905	3.430000067	3.470000029	3.470000029	14273194
2020/4/17	3.609999895	3.809999943	3.599999905	3.720000029	3.720000029	16630079
2020/4/20	3.75	3.789999962	3.569999933	3.589999914	3.589999914	15204386
2020/4/21	3.789999962	3.849999905	3.569999933	3.589999914	3.589999914	20210068
2020/4/22	3.569999933	3.575000048	3.309999943	3.359999895	3.359999895	20794225
2020/4/23	3.430000067	3.460000038	3.339999914	3.339999914	3.339999914	18758318
2020/4/24	3.369999886	3.430000067	3.359999895	3.390000105	3.390000105	12773648
2020/4/27	3.410000086	3.565000057	3.390000105	3.539999962	3.539999962	8658095
2020/4/28	3.579999924	3.660000086	3.460000038	3.5	3.5	9706034
2020/4/29	3.50999999	3.710000038	3.50999999	3.670000076	3.670000076	13472420
2020/4/30	3.799999952	3.859999895	3.755000114	3.859999895	3.859999895	15833726
2020/5/1	3.799999952	3.799999952	3.589999914	3.619999886	3.619999886	12826413
2020/5/4	3.549999952	3.609999895	3.480000019	3.559999943	3.559999943	11424464
2020/5/5	3.700000048	3.75999999	3.579999924	3.619999886	3.619999886	14373024
2020/5/6	3.640000105	3.660000086	3.5	3.5	3.5	13057958
2020/5/7	3.5	3.529999971	3.420000076	3.460000038	3.460000038	15449319
2020/5/8	3.480000019	3.519999981	3.400000095	3.400000095	3.400000095	14231631
